name,category,ratings,reviews,tags,url,stars,desc,parent,flavor
501st OG,Hybrid,78,59,"relaxed, sleepy, happy, euphoric, tingly, dry-mouth, dry-eyes, anxious, earthy, pine, skunk, berry, pungent, pain, stress, insomnia, inflammation, depression, anxiety, ptsd, arthritis, migraines, crohns-disease.",https://www.leafly.com/Hybrid/501st-og,4.485,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.","Skywalker OG, Rare Dankness #1.","Earthy, Pine, Skunk."
5th Element,Indica,15,9,"relaxed, happy, euphoric, creative, sleepy, earthy, sweet, sage, berry, lemon, pain, stress, depression, lack-of-appetite, muscle-spasms, anxiety, phantom-limb-pain.",https://www.leafly.com/Indica/5th-element,3.935,"Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.",Blackberry.,"Earthy, Sweet, Sage."
707 Headband,Hybrid,294,180,"relaxed, creative, euphoric, uplifted, happy, dry-mouth, dry-eyes, headache, paranoid, dizzy, earthy, skunk, pungent, pine, diesel, stress, depression, pain, nausea, headaches, anxiety, arthritis, migraines, addadhd, ptsd.",https://www.leafly.com/Hybrid/707-headband,4.285,"This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.","Sour Diesel, OG Kush, Master Kush.","Earthy, Skunk, Pungent."
8 Ball Kush,Indica,47,36,"relaxed, uplifted, euphoric, hungry, sleepy, dry-eyes, headache, earthy, pine, sweet, woody, pungent, depression, insomnia, pain, muscle-spasms, nausea, arthritis, migraines, ptsd, spinal-cord-injury, addadhd.",https://www.leafly.com/Indica/8-ball-kush,4.14,"Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.",Afghani.,"Earthy, Pine, Sweet."
818 OG,Indica,26,16,"relaxed, happy, dry-mouth, uplifted, euphoric, earthy, diesel, woody, flowery, lavender, depression, insomnia, pain, headaches, inflammation, migraines, fibromyalgia, arthritis, anxiety, addadhd.",https://www.leafly.com/Indica/818-og,4.69,"Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG.",OG Kush.,"Earthy, Diesel, Woody."
9 Pound Hammer,Indica,426,315,"relaxed, sleepy, happy, euphoric, hungry, dry-mouth, dizzy, dry-eyes, paranoid, anxious, earthy, berry, sweet, grape, woody, pain, stress, insomnia, depression, inflammation, anxiety, migraines, ptsd, addadhd, arthritis.",https://www.leafly.com/Indica/9-pound-hammer,4.515,"9 Pound Hammer is an 80% indica strain that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.","Jack the Ripper, Hell's Angel OG, Gooberry.","Earthy, Berry, Grape."
A-10,Indica,160,78,"sleepy, relaxed, happy, euphoric, creative, dry-mouth, dry-eyes, paranoid, dizzy, headache, citrus, pungent, earthy, sweet, tropical, insomnia, stress, pain, muscle-spasms, eye-pressure, anxiety, migraines, pms, addadhd.",https://www.leafly.com/Indica/a-10,3.895,"A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",Afghani.,"Citrus, Pungent, Earthy."
A-Dub,Hybrid,41,26,"relaxed, happy, euphoric, sleepy, uplifted, dry-mouth, dry-eyes, diesel, pepper, sweet, earthy, pine, stress, pain, lack-of-appetite, headaches, inflammation, pms, anxiety, addadhd, ptsd, hypertension.",https://www.leafly.com/Hybrid/a-dub,4.05,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.","Sour Diesel, Sour Bubble, Alien Dawg, Chemdawg.","Diesel, Pepper, Sweet."
A-Train,Hybrid,80,54,"happy, creative, giggly, energetic, euphoric, dry-mouth, anxious, paranoid, dry-eyes, headache, pine, earthy, woody, citrus, sweet, lack-of-appetite, fatigue, pain, stress, depression, anxiety, migraines, bipolar-disorder, hypertension, addadhd.",https://www.leafly.com/Hybrid/a-train,3.98,A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,"Mazar I Sharif, Trainwreck.","Pine, Earthy, Woody."
Aberdeen,Hybrid,9,1,"creative, dry-eyes, dry-mouth, euphoric, giggly, blue-cheese, chemical, menthol, depression, headaches, lack-of-appetite, muscle-spasms, nausea, addadhd, alzheimers, anorexia, anxiety, arthritis.",https://www.leafly.com/Hybrid/aberdeen,3.665,"Aberdeen is a variety of Agent Orange grown by Canadian LP Aphria. Like Agent Orange, Aberdeen combines the genetics of Orange Velvet and Jack the Ripper to create a mix of sweet orange and citrus flavors. The happy, uplifting effects of Aberdeen mirror Agent Orange and are regularly prescribed for anxiety, migraines, and gastrointestinal disorder.","Orange Velvet, Jack the Ripper.","Blue Cheese, Chemical, Menthol."
Abusive OG,Indica,123,92,"relaxed, sleepy, euphoric, hungry, tingly, dry-mouth, dry-eyes, dizzy, earthy, pine, citrus, lime, spicyherbal, pain, stress, insomnia, depression, muscle-spasms, anxiety, migraines, ptsd, addadhd, arthritis.",https://www.leafly.com/Indica/abusive-og,4.485,"A popular Californian cut of OG Kush, Abusive OG is an indica strain that inherited the nickname of its original grower. Despite its violent name, Abusive OG will ease you into in a peaceful state of mind that fades over time to a full-body relaxation. True to its OG genetics, Abusive OG has an earthy spice aroma with subtle lemon undertones. Patients who don’t mind mental haziness might choose this strain to remedy pain, anxiety, appetite loss, and sleeplessness at the end of their day. Abusive OG may not produce the highest yields in the garden, but makes up for it with resin-caked buds.",OG Kush.,"Earthy, Pine, Citrus."
Acapulco Gold,Sativa,459,314,"happy, uplifted, euphoric, energetic, focused, dry-mouth, dry-eyes, dizzy, anxious, paranoid, earthy, sweet, pungent, citrus, pine, depression, stress, pain, fatigue, lack-of-appetite, anxiety, ptsd, addadhd, bipolar-disorder, migraines.",https://www.leafly.com/Sativa/acapulco-gold,4.48,"One of the most well-known strains, Acapulco Gold has been likened to dinner at a five-star restaurant. The strain comes from the areas in and around Acapulco, Mexico. Its orange hairs resemble a gold nugget, with gold, green, and brown colors of resin collecting on the buds. An aroma of burnt toffee lingers when the bud is broken up. Acapulco Gold has a reputation for being one of the best cannabis strains ever created, and is becoming more difficult to find due to more growers moving indoors.",Mexican.,"Earthy, Sweet, Pungent."
ACDC,Hybrid,501,397,"relaxed, happy, uplifted, focused, euphoric, dry-mouth, anxious, headache, dry-eyes, dizzy, earthy, woody, pine, citrus, sweet, stress, pain, depression, inflammation, muscle-spasms, anxiety, ptsd, migraines, arthritis, addadhd.",https://www.leafly.com/Hybrid/acdc,4.435,"ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces no psychoactive effects. Tests have put ACDC’s CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all without intoxication.",Cannatonic.,"Earthy, Woody, Pine."
Ace Killer OG,Indica,37,25,"relaxed, euphoric, sleepy, happy, hungry, dry-mouth, earthy, diesel, pine, citrus, pungent, pain, insomnia, stress, muscle-spasms, lack-of-appetite, addadhd, tinnitus, anxiety, migraines, bipolar-disorder.",https://www.leafly.com/Indica/ace-killer-og,4.81,"Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma. Bred from White Fire OG, King’s Kush, Kosher Kush, and a mystery strain, Ace Killer OG inherits a heavy blanket of snow-like resin and hard-hitting effects that can stupefy even the most seasoned veteran.","White Fire OG, King's Kush, Kosher Kush.","Earthy, Diesel, Pine."
Ace of Spades,Indica,296,198,"relaxed, happy, euphoric, sleepy, uplifted, dry-mouth, dry-eyes, dizzy, headache, paranoid, sweet, earthy, woody, berry, spicyherbal, stress, depression, pain, insomnia, lack-of-appetite, anxiety, arthritis, ptsd, addadhd, bipolar-disorder.",https://www.leafly.com/Indica/ace-of-spades,4.155,"Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style. A crossbreed of Black Cherry Soda and Jack the Ripper, this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors. Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall. Flowering occurs at 8 weeks and they are generally large and heavy. These buds are pretty to look at with a range of colors that can include purples, blues, and pinks all coated in orange hairs.","Jack the Ripper, Black Cherry Soda.","Sweet, Earthy, Woody."
Aceh,Sativa,39,17,"happy, relaxed, creative, focused, euphoric, dry-mouth, tropical, woody, earthy, pungent, citrus, depression, stress, insomnia, lack-of-appetite, pain, bipolar-disorder, migraines, anxiety, hypertension, cancer.",https://www.leafly.com/Sativa/aceh,4.36,"Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties",.,"Tropical, Woody, Earthy."
Acid,Hybrid,20,10,"creative, euphoric, happy, uplifted, focused, dry-mouth, dry-eyes, diesel, earthy, cheese, grapefruit, pine, stress, pain, depression, insomnia, nausea, anxiety, ptsd.",https://www.leafly.com/Hybrid/acid,4.4,"Acid is Paradise Seeds’ take on the original New York Sour Diesel. Expect powerful body effects, including an uplifted, nearly psychedelic mental energy. This plant exhibits a metallic flavor that is representative of its namesake, with traditional notes of gas on the nose. Acid thrives in both indoor and outdoor environments, finishing in about 9 to 10 weeks.",NYC Diesel.,"Diesel, Earthy, Cheese."
Afcrack,Hybrid,9,7,"tingly, relaxed, euphoric, happy, focused, earthy, pungent, sweet, flowery, woody, depression, stress, pain, headaches, fatigue, anxiety, ptsd, arthritis, bipolar-disorder, migraines.",https://www.leafly.com/Hybrid/afcrack,3.665,"Afcrack is a cannabis “speedball” of sorts. This strain incorporates Afgoo and Green Crack, polar opposites on the spectrum of indica and sativa varieties, to create a pseudo-sedative experience that rests in the muscles while invigorating the heart and mind. With spicy earth notes that indicate its Afghani heritage, this hybrid’s effects are situation-specific and will offer energy or sedation depending on the consumer’s level of activity.","Afgoo, Green Crack.","Earthy, Pungent, Sweet."
Afghan Big Bud,Indica,28,16,"euphoric, happy, talkative, tingly, giggly, dry-mouth, dry-eyes, paranoid, earthy, sweet, flowery, vanilla, pungent, pain, nausea, stress, insomnia, depression, anxiety, migraines, arthritis, bipolar-disorder, hypertension.",https://www.leafly.com/Indica/afghan-big-bud,3.82,"Spawn from Afghani and Big Bud, Afghan Big Bud (or Big Bud Afghani) is characterized as a large plant with broad leaves and thick stems. It has a dense appearance, similar to Big Bud, and maintains the taste of Afghani, resulting in the best of both worlds. The effects come relatively quick but usually dissipate under two hours.","Big Bud, Afghani.","Earthy, Sweet, Flowery."
Afghan Cow,Sativa,7,2,"creative, euphoric, focused, relaxed.",https://www.leafly.com/Sativa/afghan-cow,4,"This sweet-smelling and resinous sativa breed from Dr. Krippling Seeds is sure to keep you off the couch. Afghan Cow is bred from Ash, Kaya 47 (an AK-47 phenotype), and the beloved Kali Mist. The cerebral effects of this sativa are great for clear-headed daytime use. Having a high yield both indoors and out, this is an impressive plant with even more impressive effects.","Ash, Kali Mist, AK-47.",.
Afghan Diesel,Hybrid,40,17,"relaxed, happy, euphoric, giggly, uplifted, dry-mouth, dry-eyes, dizzy, paranoid, anxious, diesel, earthy, chemical, flowery, pungent, stress, pain, insomnia, depression, lack-of-appetite, migraines, anxiety, fibromyalgia, arthritis, hypertension.",https://www.leafly.com/Hybrid/afghan-diesel,3.925,Afghan Diesel is a hybrid strain with an aroma similar to a grapefruit and other citrus fruit. The taste has been described as light and sweet. This strain will have a more cerebral effect rather than body. The plant is characterized as having dark green leaves with purple colored buds.,"Afghani, Sour Diesel.","Diesel, Earthy, Chemical."
Afghan Hawaiian,Indica,11,8,"sleepy, relaxed, tingly, energetic, aroused, dry-mouth, paranoid, nutty, chestnut, earthy, pineapple, sweet.",https://www.leafly.com/Indica/afghan-hawaiian,4.09,"Afghan Hawaiian is an indica-dominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGram, Inc. The sweet mix of earthy, cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation. OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity.",.,"Nutty, Chestnut, Earthy."
Afghan Haze,Hybrid,57,33,"focused, energetic, sleepy, happy, uplifted, dizzy, earthy, sweet, pungent, skunk, pine, stress, depression, pain, nausea, lack-of-appetite, anxiety, fibromyalgia, asthma, bipolar-disorder, ptsd.",https://www.leafly.com/Hybrid/afghan-haze,4.27,"Afghan Haze is a sativa-dominant hybrid that combines a resinous Afghani indica with a sweet-smelling Haze sativa. Created by former Sensi breeder Nevil Schoenmaker and Shantibaba of Mr. Nice Seeds, Afghan Haze balances energizing cerebral invigoration with soothing full-body effects. Its clear-headed relief allows patients to treat pain, depression, and appetite loss during the day, and heavier doses can help ease the mind and body into peaceful sleep. Afghan Haze may have an excruciatingly long indoor flowering time of 10 weeks, but the large harvests of potent, crystal-covered buds are worth waiting for.","Afghani, Haze.","Pungent, Spicy/Herbal, Earthy."
Afghan Kush,Indica,1118,653,"relaxed, sleepy, happy, hungry, euphoric, dry-mouth, dry-eyes, dizzy, paranoid, anxious, earthy, woody, pungent, spicyherbal, pine, stress, pain, insomnia, depression, headaches, anxiety, addadhd, migraines, ptsd, bipolar-disorder.",https://www.leafly.com/Indica/afghan-kush,4.06,"Afghan Kush's roots trace back to the Hindu Kush mountain range near the Afghanistan-Pakistan border. There its genotype has been perfected over centuries, making it the ultimate source for hash such as charas and the sticky black Afghani hash. White Label Seed Company, a Sensi Seeds partner from the Netherlands, made the seeds of this strain available for everyone to grow. The buds of Afghan Kush develop into massive, blunt-topped nuggets full of resin; pure indica goodness with a heavy yield. Revered for its heavy resin content and powerfully sedating effects, Afghan Kush is a top choice for anyone looking to relax after a long day.",Afghani.,"Earthy, Woody, Pungent."
Afghan Skunk,Indica,50,29,"relaxed, happy, sleepy, hungry, uplifted, dry-mouth, dry-eyes, headache, dizzy, paranoid, citrus, sweet, skunk, earthy, pungent, stress, insomnia, lack-of-appetite, depression, nausea, addadhd, anxiety, bipolar-disorder, gastrointestinal-disorder, ptsd.",https://www.leafly.com/Indica/afghan-skunk,4.4,"This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants. Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the “classics.” Its resilient Skunk genes make this plant a popular recommendation for new growers, and its legendary high yields make it a favorite all around. Flowering happens around 8 weeks and the buds will have a menthol smell combined with the “sweet stink” skunks are known for. Tests have shown THC levels of about 17%, so the stink isn’t the only thing that’s potent about Afghan Skunk.","Afghani, Skunk #1.","Citrus, Sweet, Skunk."
Afghan Sour Kush,Indica,17,10,"relaxed, hungry, dry-mouth, sleepy, aroused, earthy, pungent, diesel, sweet, tea, fatigue, eye-pressure, headaches, insomnia, pain, migraines, anxiety, cancer, fibromyalgia, hivaids.",https://www.leafly.com/Indica/afghan-sour-kush,4.06,"Afghan Sour Kush by MTG Seeds is an indica-dominant cross between Afghani and Sour Kush. Its heavy, relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of Kush varieties. Stout and sturdy, Afghan Sour Kush plants have tight internodal spacing and finish flowering in about 60 days.","Afghani, Sour Kush.","Earthy, Pungent, Diesel."
Afghan Widow,Hybrid,9,4,"creative, dry-mouth, energetic, euphoric, focused, flowery, coffee, diesel, earthy, pine, eye-pressure, fatigue, insomnia.",https://www.leafly.com/Hybrid/afghan-widow,4.335,"Afghan Widow is a strain with deep relaxing qualities that immediately envelop the body in a calming aura. This mid-level sedation is pleasant but not debilitating. However, with continued consumption, this strain may yield benefits for patients treating insomnia, nausea, physical discomfort, and some cancer treatment side effects. Afghan Widows lineage is a common sense cross of Afghan Kush and White Widow.","Afghan Kush, White Widow.","Flowery, Coffee, Diesel."
Afghani,Indica,451,298,"relaxed, sleepy, euphoric, happy, hungry, dry-mouth, dizzy, dry-eyes, headache, paranoid, earthy, pungent, woody, pine, sweet, insomnia, stress, pain, lack-of-appetite, depression, anxiety, ptsd, migraines, addadhd, hypertension.",https://www.leafly.com/Indica/afghani,4.235,"Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.",.,"Earthy, Pungent, Woody."
Afghani Bullrider,Indica,103,68,"happy, relaxed, creative, aroused, euphoric, dry-mouth, dry-eyes, paranoid, dizzy, headache, earthy, sweet, spicyherbal, pine, berry, pain, inflammation, stress, depression, nausea, anxiety, fibromyalgia, hypertension, ptsd, spinal-cord-injury.",https://www.leafly.com/Indica/afgahni-bullrider,4.375,"This strain has quite a few myths circulating about its original appearance. It blew up in San Diego before spreading to the rest of the West Coast. Afghani Bullrider is pretty to look at, with light green buds covered in orange hair, and has a strong sweet and sour smell with some piney freshness. This strain is a heavy hitter that delivers a strong body without the full sedative effects some indicas can have; it heads straight to the brain and may boost creative thoughts while providing physical relaxation. With its high levels of THC and CBD, Afghani Bullrider is recommended for chronic pain, insomnia, and anxiety.",Afghani.,"Earthy, Sweet, Spicy/Herbal."
Afghani CBD,Indica,38,29,"relaxed, happy, sleepy, tingly, giggly, dry-mouth, dry-eyes, headache, spicyherbal, earthy, flowery, pine, chemical, stress, pain, inflammation, depression, insomnia, anxiety, arthritis, ptsd, migraines, addadhd.",https://www.leafly.com/Indica/afghani-cbd,4.525,"Afghani CBD is a high-CBD variant of the landrace indica Afghani grown by Canadian LP Tilray. Named after its geographic origin Afghani CBD has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders.",Afghani.,"Spicy/Herbal, Earthy, Flowery."
Afghanica,Hybrid,18,10,"relaxed, euphoric, happy, sleepy, uplifted, dry-mouth, dizzy, anxious, dry-eyes, tea, sweet, berry, flowery, grapefruit, stress, pain, insomnia, nausea, depression, anxiety, addadhd, asthma, hypertension.",https://www.leafly.com/Hybrid/afghanica,4,"Afghanica is a strain created by Flying Dutchmen with a taste, form, and effects typical of Afghani varieties. Coupled with the yield, vigor, and general potency true to Skunks, it is a pleasure to grow and consume. This strain is cherished for its many medical applications including pain relief and insomnia, and its heavy physical characteristics are lent from its mother, Afghani #1.",Afghani.,"Tea, Sweet, Berry."
